id	document	label
11367	서해 수자원도 한류라서 그동안 불법조업 방치했나?	0
11368	 니가 인간이가.	0
11369	강아지를 때리고 유기하는것만 학대는 아닙니다!	0
11370	하여간 우리나라 교육엔 미래가 없어!!	0
11371	채널에이 군부 개인거 인증하냐 동아일보야!!	0
11372	 비싼 요금들 다 어디로 처먹는지들 ㅉㅉ	0
11373	김기춘이랑 우병우 이색히들은 공개처형시키고싶다	0
11374	닭년이 조언 구했다고 했는데 먼개소리냐	0
11375	 자백 안 해도 그동안 나온 증거만으로도 무기징역감이다!	0
11376	청와대는 압수대상안됨,,,	0
11377	 야 맹구들아 자그만치 천억이다	0
11378	다 조사해봐라롯데호텔 씨씨티비확인해봐라	0
11379	그게 대통령의 할일 아닌가?	0
11380	도대체얼마를쳐먹으면저렇게자연스럽게말할수있는거냐?	0
11381	 특검은 가혹하게 다스려라	0
11382	조윤선이야말로 박근혜 최순실 국정농단의 부역자야 그동안 호가호위해서 좋디?	0
11383	할수있는못땐짓은 다했구나~	0
11384	드러운 좃선tv 기사내용이네..	0
11385	 이런 뉴스 쓰지마라 공무원들 국민혈세 나랏돈 빼먹을 핑계만준다	0
11386	 걍 환불이라고해야지!!	0
11387	위증하면 너도 300여명 아이들을 죽인 살인자다.	0
11388	일본... 절대 잊지 않겠다!!	0
11389	이건 대통령이 아니라 도둑년이구만.	0
11390	미국에선 원 플러스 원도 하면서!!	0
11391	 저런 인간들이 후보라니...	0
11392	둘다 나쁜 인간들인데 패륜아집단이 더 더러운새끼들이지	0
11393	무슬림 극단주의는 암덩어리 같은 존재	0
11394	 나라를 좀먹는 일베충들이다.	0
11395	 대가리에 우동사리들었냐.	0
11396	교도소장 어떻게 좀 해야 합니다.	0
11397	 니가 죽인거야!	0
11398	감히 그네 따위랑 날 비교해?	0
11399	 악풀들 자신들 먼저 리콜해라.	0
11400	 더러워서 탄핵도 못기다리겠다.	0
11401	 아직도 저 돼지일가가 인간인줄알고 대화라는게 가능하다고 생각하는 머저리들이 있는게 놀라움.	0
11402	 꼭 벌받을겁니다 당신	0
11403	개공장을 다 폐쇄해라.	0
11404	진심 씨-발-ㅡ새-끼들...	0
11405	 요즘은 개나 소나 변호사 다 하니깐 저런 개 같은 변호사가 있군	0
11406	 그리고 미국 이민 가버려!	0
